message,category,label_subtype,contains_link,suspicious_words,sender_trust_score,link_reputation_score,language_type,ai_generated_score
click here to claim your free netflix gift card . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.3,1.0,English,0.88
your order 5773 is confirmed. track it here: https://secure-site.com/2,promo,Service Update,1,,0.55,0.85,English,0.78
prize of rs. 80 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.16,1.0,English,0.79
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.85,1.0,English,0.26
you won a 5000 amazon gift card. click here to claim http://phish-3.co,scam,E-commerce Scam,1,click,0.06,0.06,English,0.84
doctor s appointment confirmed for tomorrow at 10.,ham,Service Update,0,,0.74,1.0,English,0.24
your order 4599 is stuck. confirm payment details: http://phish-3.co,scam,E-commerce Scam,1,,0.15,0.2,English,0.68
urgent update your sbi kyc now: www.verify-now.net,scam,Bank Scam,1,"verify, urgent",0.17,0.02,English,0.54
new job discount earn 80 weekly from home. reply yes to apply.,promo,Service Update,0,,0.45,1.0,English,0.9
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.83,1.0,Regional,0.05
limited discount buy 1 get 1 free on flipkart. don t miss out,promo,General Promo,0,"free, limited",0.54,1.0,English,0.92
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/1,promo,Service Update,1,,0.58,0.88,English,0.84
you won a 1000 amazon gift card. click here to claim http://phish-2.co,scam,E-commerce Scam,1,click,0.36,0.11,English,0.74
congratulations you won the iphone 15 lottery confirm delivery: http://phish-0.co,scam,Clickbait,1,congratulations,0.4,0.1,English,0.56
urgent update your sbi kyc now: http://phish-2.co,scam,Bank Scam,1,urgent,0.35,0.09,English,0.6
your sbi account has been suspended. verify immediately at http://phish-0.co,scam,Bank Scam,1,"account, verify",0.2,0.23,English,0.64
your hdfc account has been frozen. verify immediately at http://phish-3.co,scam,Bank Scam,1,"account, verify",0.22,0.08,English,0.71
limited discount buy 1 get 1 free on flipkart. don t miss out,promo,General Promo,0,"free, limited",0.66,1.0,English,0.51
are you coming to class today reply soon.,ham,Personal,0,,0.73,1.0,English,0.1
new job deal earn 80 weekly from home. reply yes to apply.,promo,Service Update,0,,0.46,1.0,English,0.98
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/3,promo,Service Update,1,,0.61,0.75,English,0.69
hey bro kal party h na milte hain 8 baje.,ham,Personal,0,,0.95,1.0,English,0.27
security alert we detected suspicious activity. call phone or visit http://phish-2.co,scam,Tech Support,1,,0.04,0.23,English,0.94
hey bro kal party h na milte hain 8 baje.,ham,Personal,0,,0.72,1.0,English,0.17
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.95,1.0,English,0.09
security alert we detected suspicious activity. call phone or visit http://phish-2.co,scam,Tech Support,1,,0.03,0.1,English,0.77
urgent update your paytm kyc now: http://phish-2.co,scam,Bank Scam,1,urgent,0.02,0.27,English,0.63
your otp for login is 885680. do not share it with anyone.,ham,Service Update,0,,0.97,1.0,English,0.24
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.82,1.0,English,0.22
click here to claim your free cruise ticket . limited time discount,scam,Clickbait,0,"click, free, limited",0.31,1.0,English,0.84
your order 2296 is stuck. confirm payment details: http://phish-4.co,scam,E-commerce Scam,1,,0.21,0.29,English,0.6
your otp for login is 320718. do not share it with anyone.,ham,Service Update,0,,0.73,1.0,English,0.02
your order 4838 is confirmed. track it here: https://secure-site.com/3,promo,Service Update,1,,0.56,0.62,English,0.59
are you coming to class today reply soon.,ham,Personal,0,,0.96,1.0,English,0.21
you won a 5000 flipkart gift card. click here to claim www.verify-now.net,scam,E-commerce Scam,1,"click, verify",0.18,0.29,English,0.87
prize of rs. 5000 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.04,1.0,English,0.92
hey bro kal party h na milte hain 10 baje.,ham,Personal,0,,0.72,1.0,English,0.12
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.92,1.0,English,0.19
your otp for login is 199642. do not share it with anyone.,ham,Service Update,0,,0.84,1.0,English,0.12
are you coming to class today reply soon.,ham,Personal,0,,0.9,1.0,English,0.08
your order 2274 is confirmed. track it here: https://secure-site.com/2,promo,Service Update,1,,0.62,0.66,English,0.73
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/1,promo,Service Update,1,,0.48,0.8,English,0.54
hey bro kal party h na milte hain 8 baje.,ham,Personal,0,,0.74,1.0,English,0.18
hi i am david. i think we should meet. view my photos: http://phish-3.co,scam,Relationship Scam,1,,0.19,0.05,English,0.54
your order 3207 is stuck. confirm payment details: http://phish-3.co,scam,E-commerce Scam,1,,0.17,0.03,English,0.84
your otp for login is 862450. do not share it with anyone.,ham,Service Update,0,,0.85,1.0,English,0.17
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/0,promo,Service Update,1,,0.65,0.96,English,0.7
urgent update your hdfc kyc now: http://phish-4.co,scam,Bank Scam,1,urgent,0.38,0.22,English,0.85
security alert we detected suspicious activity. call phone or visit http://phish-4.co,scam,Tech Support,1,,0.35,0.13,English,0.97
prize of rs. 80 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.27,1.0,English,0.71
click here to claim your free voucher . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.34,1.0,English,0.53
limited deal buy 1 get 1 free on chroma. don t miss out,promo,General Promo,0,"free, limited",0.51,1.0,English,0.96
flash sale get 80 off on flipkart today shop now: www.official-track.com,promo,General Promo,1,sale,0.63,0.52,English,0.9
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/0,promo,Service Update,1,,0.69,0.84,English,0.88
your order 4599 is stuck. confirm payment details: http://phish-4.co,scam,E-commerce Scam,1,,0.38,0.03,English,0.63
urgent update your paytm kyc now: www.verify-now.net,scam,Bank Scam,1,"verify, urgent",0.05,0.28,English,0.93
prize of rs. 1000 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.27,1.0,English,0.7
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/2,promo,Service Update,1,,0.68,0.94,English,0.84
hey bro kal party h na milte hain 10 baje.,ham,Personal,0,,0.7,1.0,English,0.21
prize of rs. 500 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.38,1.0,English,0.91
your otp for login is 472002. do not share it with anyone.,ham,Service Update,0,,0.72,1.0,English,0.01
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.86,1.0,English,0.22
security alert we detected suspicious activity. call phone or visit http://phish-4.co,scam,Tech Support,1,,0.4,0.13,English,0.92
hi i am sophia. i think we should meet. view my photos: www.verify-now.net,scam,Relationship Scam,1,verify,0.01,0.22,English,0.62
security alert we detected suspicious activity. call phone or visit http://phish-3.co,scam,Tech Support,1,,0.4,0.17,English,0.73
hi i am clara. i think we should meet. view my photos: http://phish-1.co,scam,Relationship Scam,1,,0.37,0.26,English,0.89
doctor s appointment confirmed for tomorrow at 10.,ham,Service Update,0,,0.76,1.0,English,0.1
security alert we detected suspicious activity. call phone or visit http://phish-2.co,scam,Tech Support,1,,0.36,0.17,English,0.84
your otp for login is 862450. do not share it with anyone.,ham,Service Update,0,,0.99,1.0,English,0.06
new job deal earn 500 weekly from home. reply yes to apply.,promo,Service Update,0,,0.74,1.0,English,0.79
click here to claim your free netflix gift card . limited time deal,scam,Clickbait,0,"click, free, limited",0.26,1.0,English,0.79
flash sale get 80 off on amazon today shop now: https://secure-site.com/4,promo,General Promo,1,sale,0.52,0.93,English,0.82
urgent update your paytm kyc now: www.verify-now.net,scam,Bank Scam,1,"verify, urgent",0.36,0.13,English,0.52
your icici account has been suspended. verify immediately at http://phish-4.co,scam,Bank Scam,1,"account, verify",0.39,0.21,English,0.52
click here to claim your free cruise ticket . limited time discount,scam,Clickbait,0,"click, free, limited",0.27,1.0,English,0.51
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.77,1.0,English,0.21
new job discount earn 80 weekly from home. reply yes to apply.,promo,Service Update,0,,0.42,1.0,English,0.69
hi i am clara. i think we should meet. view my photos: www.verify-now.net,scam,Relationship Scam,1,verify,0.1,0.2,English,0.53
you won a 500 chroma gift card. click here to claim http://phish-2.co,scam,E-commerce Scam,1,click,0.32,0.05,English,0.56
hey bro kal party h na milte hain 8 baje.,ham,Personal,0,,0.87,1.0,English,0.22
you won a 80 chroma gift card. click here to claim http://phish-4.co,scam,E-commerce Scam,1,click,0.05,0.07,English,0.53
security alert we detected suspicious activity. call phone or visit http://phish-2.co,scam,Tech Support,1,,0.21,0.24,English,0.79
your order 2274 is confirmed. track it here: www.official-track.com,promo,Service Update,1,,0.69,0.61,English,0.92
hi i am sophia. i think we should meet. view my photos: http://phish-4.co,scam,Relationship Scam,1,,0.33,0.2,English,0.61
hi i am sophia. i think we should meet. view my photos: http://phish-1.co,scam,Relationship Scam,1,,0.15,0.25,English,0.62
your order 4838 is stuck. confirm payment details: http://phish-1.co,scam,E-commerce Scam,1,,0.37,0.13,English,0.79
your order 5773 is confirmed. track it here: https://secure-site.com/4,promo,Service Update,1,,0.7,0.51,English,0.83
your otp for login is 331948. do not share it with anyone.,ham,Service Update,0,,0.96,1.0,English,0.27
your paytm account has been frozen. verify immediately at http://phish-0.co,scam,Bank Scam,1,"account, verify",0.19,0.25,English,0.7
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.81,1.0,English,0.01
your order 5773 is stuck. confirm payment details: http://phish-4.co,scam,E-commerce Scam,1,,0.05,0.19,English,0.75
flash sale get 80 off on flipkart today shop now: https://secure-site.com/3,promo,General Promo,1,sale,0.7,0.59,English,0.53
your otp for login is 247331. do not share it with anyone.,ham,Service Update,0,,0.72,1.0,English,0.14
are you coming to class today reply soon.,ham,Personal,0,,0.85,1.0,English,0.16
you won a 1000 flipkart gift card. click here to claim http://phish-0.co,scam,E-commerce Scam,1,click,0.31,0.14,English,0.66
limited discount buy 1 get 1 free on chroma. don t miss out,promo,General Promo,0,"free, limited",0.59,1.0,English,0.97
click here to claim your free voucher . limited time discount,scam,Clickbait,0,"click, free, limited",0.17,1.0,English,0.69
new job offer earn 500 weekly from home. reply yes to apply.,promo,Service Update,0,offer,0.52,1.0,English,0.93
new job discount earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.63,1.0,English,0.98
security alert we detected suspicious activity. call phone or visit http://phish-3.co,scam,Tech Support,1,,0.23,0.08,English,0.93
your order 4599 is stuck. confirm payment details: http://phish-2.co,scam,E-commerce Scam,1,,0.28,0.19,English,0.81
urgent update your paytm kyc now: http://phish-1.co,scam,Bank Scam,1,urgent,0.07,0.17,English,0.6
new job discount earn 1000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.4,1.0,English,0.74
congratulations you won the iphone 15 lottery confirm delivery: http://phish-2.co,scam,Clickbait,1,congratulations,0.21,0.02,English,0.52
security alert we detected suspicious activity. call phone or visit http://phish-0.co,scam,Tech Support,1,,0.18,0.16,English,0.93
new job deal earn 1000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.68,1.0,English,0.93
click here to claim your free netflix gift card . limited time deal,scam,Clickbait,0,"click, free, limited",0.25,1.0,English,0.72
prize of rs. 500 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.26,1.0,English,0.91
prize of rs. 80 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.2,1.0,English,0.92
are you coming to class today reply soon.,ham,Personal,0,,0.77,1.0,English,0.22
your otp for login is 862450. do not share it with anyone.,ham,Service Update,0,,0.95,1.0,English,0.21
are you coming to class today reply soon.,ham,Personal,0,,0.95,1.0,English,0.12
click here to claim your free voucher . limited time discount,scam,Clickbait,0,"click, free, limited",0.21,1.0,English,0.88
new job discount earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.44,1.0,English,0.51
hey bro kal party h na milte hain 8 baje.,ham,Personal,0,,0.87,1.0,English,0.17
your order 6346 is stuck. confirm payment details: http://phish-1.co,scam,E-commerce Scam,1,,0.24,0.21,English,0.56
flash sale get 90 off on chroma today shop now: www.official-track.com,promo,General Promo,1,sale,0.45,0.6,English,0.54
your otp for login is 862450. do not share it with anyone.,ham,Service Update,0,,0.94,1.0,English,0.19
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.81,1.0,English,0.2
urgent update your hdfc kyc now: http://phish-2.co,scam,Bank Scam,1,urgent,0.35,0.22,English,0.95
security alert we detected suspicious activity. call phone or visit http://phish-0.co,scam,Tech Support,1,,0.09,0.2,English,0.76
your sbi account has been suspended. verify immediately at http://phish-1.co,scam,Bank Scam,1,"account, verify",0.38,0.27,English,0.53
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/0,promo,Service Update,1,,0.58,0.58,English,0.77
you won a 1000 amazon gift card. click here to claim http://phish-1.co,scam,E-commerce Scam,1,click,0.25,0.12,English,0.71
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.79,1.0,English,0.26
you won a 500 flipkart gift card. click here to claim http://phish-3.co,scam,E-commerce Scam,1,click,0.12,0.11,English,0.61
your otp for login is 885680. do not share it with anyone.,ham,Service Update,0,,0.77,1.0,English,0.13
new job discount earn 500 weekly from home. reply yes to apply.,promo,Service Update,0,,0.6,1.0,English,0.75
prize of rs. 500 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.06,1.0,English,0.71
new job discount earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.68,1.0,English,0.95
click here to claim your free netflix gift card . limited time discount,scam,Clickbait,0,"click, free, limited",0.05,1.0,English,0.87
you won a 5000 myntra gift card. click here to claim http://phish-2.co,scam,E-commerce Scam,1,click,0.33,0.29,English,0.56
urgent update your hdfc kyc now: http://phish-0.co,scam,Bank Scam,1,urgent,0.26,0.03,English,0.6
urgent update your sbi kyc now: http://phish-3.co,scam,Bank Scam,1,urgent,0.16,0.29,English,0.51
hey bro kal party h na milte hain 8 baje.,ham,Personal,0,,0.95,1.0,English,0.11
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.88,1.0,English,0.19
limited discount buy 1 get 1 free on myntra. don t miss out,promo,General Promo,0,"free, limited",0.56,1.0,English,0.91
urgent update your icici kyc now: http://phish-3.co,scam,Bank Scam,1,urgent,0.04,0.3,English,0.87
congratulations you won the iphone 15 lottery confirm delivery: http://phish-2.co,scam,Clickbait,1,congratulations,0.24,0.08,English,0.8
new job discount earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.5,1.0,English,0.51
your paytm account has been suspended. verify immediately at http://phish-4.co,scam,Bank Scam,1,"account, verify",0.35,0.27,English,0.94
hi i am clara. i think we should meet. view my photos: http://phish-4.co,scam,Relationship Scam,1,,0.35,0.11,English,0.72
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/1,promo,Service Update,1,,0.49,0.73,English,0.57
you won a 1000 flipkart gift card. click here to claim http://phish-0.co,scam,E-commerce Scam,1,click,0.1,0.14,English,0.63
click here to claim your free netflix gift card . limited time deal,scam,Clickbait,0,"click, free, limited",0.13,1.0,English,0.74
your hdfc account has been blocked. verify immediately at http://phish-4.co,scam,Bank Scam,1,"account, verify",0.36,0.22,English,0.83
doctor s appointment confirmed for tomorrow at 8.,ham,Service Update,0,,0.89,1.0,English,0.15
congratulations you won the iphone 15 lottery confirm delivery: http://phish-0.co,scam,Clickbait,1,congratulations,0.29,0.1,English,0.82
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/1,promo,Service Update,1,,0.66,0.63,English,0.74
limited offer buy 1 get 1 free on amazon. don t miss out,promo,General Promo,0,"offer, free, limited",0.64,1.0,English,0.61
your icici account has been blocked. verify immediately at http://phish-2.co,scam,Bank Scam,1,"account, verify",0.06,0.21,English,0.86
urgent update your icici kyc now: http://phish-4.co,scam,Bank Scam,1,urgent,0.15,0.05,English,0.66
your order 9487 is confirmed. track it here: www.official-track.com,promo,Service Update,1,,0.43,0.71,English,0.54
your otp for login is 857262. do not share it with anyone.,ham,Service Update,0,,0.85,1.0,English,0.03
security alert we detected suspicious activity. call phone or visit http://phish-4.co,scam,Tech Support,1,,0.39,0.11,English,0.97
prize of rs. 5000 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.34,1.0,English,0.51
your hdfc account has been suspended. verify immediately at http://phish-1.co,scam,Bank Scam,1,"account, verify",0.28,0.15,English,0.54
click here to claim your free cruise ticket . limited time discount,scam,Clickbait,0,"click, free, limited",0.1,1.0,English,0.84
your order 2274 is stuck. confirm payment details: http://phish-3.co,scam,E-commerce Scam,1,,0.09,0.09,English,0.64
doctor s appointment confirmed for tomorrow at 10.,ham,Service Update,0,,0.9,1.0,English,0.04
congratulations you won the iphone 15 lottery confirm delivery: http://phish-4.co,scam,Clickbait,1,congratulations,0.08,0.15,English,0.85
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/1,promo,Service Update,1,,0.64,0.51,English,0.81
click here to claim your free cruise ticket . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.31,1.0,English,0.92
you won a 5000 flipkart gift card. click here to claim http://phish-3.co,scam,E-commerce Scam,1,click,0.33,0.12,English,0.92
your order 6346 is stuck. confirm payment details: http://phish-1.co,scam,E-commerce Scam,1,,0.3,0.1,English,0.9
your order 4599 is confirmed. track it here: https://secure-site.com/4,promo,Service Update,1,,0.52,0.94,English,0.82
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.78,1.0,English,0.25
prize of rs. 5000 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.04,1.0,English,0.85
urgent update your icici kyc now: http://phish-0.co,scam,Bank Scam,1,urgent,0.08,0.22,English,0.74
hi i am sophia. i think we should meet. view my photos: http://phish-2.co,scam,Relationship Scam,1,,0.21,0.07,English,0.51
prize of rs. 80 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.31,1.0,English,0.55
urgent update your icici kyc now: http://phish-2.co,scam,Bank Scam,1,urgent,0.38,0.22,English,0.99
urgent update your sbi kyc now: http://phish-1.co,scam,Bank Scam,1,urgent,0.07,0.14,English,0.56
your order 6346 is stuck. confirm payment details: http://phish-2.co,scam,E-commerce Scam,1,,0.11,0.3,English,0.76
your otp for login is 885680. do not share it with anyone.,ham,Service Update,0,,0.94,1.0,English,0.2
security alert we detected suspicious activity. call phone or visit http://phish-4.co,scam,Tech Support,1,,0.21,0.14,English,0.88
click here to claim your free cruise ticket . limited time deal,scam,Clickbait,0,"click, free, limited",0.37,1.0,English,0.51
limited offer buy 1 get 1 free on chroma. don t miss out,promo,General Promo,0,"offer, free, limited",0.47,1.0,English,0.71
hey bro kal party h na milte hain 7 baje.,ham,Personal,0,,0.97,1.0,English,0.29
urgent update your paytm kyc now: http://phish-4.co,scam,Bank Scam,1,urgent,0.13,0.28,English,0.81
security alert we detected suspicious activity. call phone or visit http://phish-0.co,scam,Tech Support,1,,0.03,0.11,English,0.55
hey bro kal party h na milte hain 7 baje.,ham,Personal,0,,0.87,1.0,English,0.17
your order 4599 is confirmed. track it here: www.official-track.com,promo,Service Update,1,,0.66,0.54,English,0.63
prize of rs. 1000 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.23,1.0,English,0.58
flash sale get 70 off on myntra today shop now: https://secure-site.com/1,promo,General Promo,1,sale,0.61,0.98,English,0.89
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/0,promo,Service Update,1,,0.63,0.58,English,0.85
you won a 500 chroma gift card. click here to claim http://phish-2.co,scam,E-commerce Scam,1,click,0.26,0.23,English,0.54
doctor s appointment confirmed for tomorrow at 8.,ham,Service Update,0,,0.92,1.0,English,0.15
security alert we detected suspicious activity. call phone or visit http://phish-0.co,scam,Tech Support,1,,0.19,0.3,English,0.51
click here to claim your free netflix gift card . limited time discount,scam,Clickbait,0,"click, free, limited",0.3,1.0,English,0.59
you won a 80 chroma gift card. click here to claim http://phish-3.co,scam,E-commerce Scam,1,click,0.05,0.02,English,0.52
your order 4838 is stuck. confirm payment details: http://phish-2.co,scam,E-commerce Scam,1,,0.18,0.23,English,0.68
click here to claim your free voucher . limited time deal,scam,Clickbait,0,"click, free, limited",0.34,1.0,English,0.7
new job discount earn 80 weekly from home. reply yes to apply.,promo,Service Update,0,,0.73,1.0,English,0.86
your order 2296 is stuck. confirm payment details: http://phish-4.co,scam,E-commerce Scam,1,,0.1,0.21,English,0.5
your paytm account has been suspended. verify immediately at http://phish-2.co,scam,Bank Scam,1,"account, verify",0.28,0.28,English,0.87
your order 6346 is stuck. confirm payment details: http://phish-3.co,scam,E-commerce Scam,1,,0.23,0.02,English,0.56
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.7,1.0,English,0.29
new job deal earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.47,1.0,English,0.88
urgent update your paytm kyc now: http://phish-0.co,scam,Bank Scam,1,urgent,0.25,0.28,English,0.54
your order 4838 is stuck. confirm payment details: http://phish-0.co,scam,E-commerce Scam,1,,0.37,0.06,English,0.5
your hdfc account has been suspended. verify immediately at http://phish-4.co,scam,Bank Scam,1,"account, verify",0.23,0.24,English,0.85
your hdfc account has been blocked. verify immediately at http://phish-3.co,scam,Bank Scam,1,"account, verify",0.12,0.11,English,0.65
your sbi account has been blocked. verify immediately at http://phish-0.co,scam,Bank Scam,1,"account, verify",0.12,0.28,English,0.78
new job offer earn 500 weekly from home. reply yes to apply.,promo,Service Update,0,offer,0.67,1.0,English,0.67
your otp for login is 885680. do not share it with anyone.,ham,Service Update,0,,0.76,1.0,English,0.17
are you coming to class today reply soon.,ham,Personal,0,,0.73,1.0,Regional,0.11
click here to claim your free netflix gift card . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.13,1.0,English,0.72
congratulations you won the iphone 15 lottery confirm delivery: http://phish-2.co,scam,Clickbait,1,congratulations,0.06,0.17,English,0.76
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.8,1.0,English,0.14
your order 5346 is confirmed. track it here: https://secure-site.com/1,promo,Service Update,1,,0.71,0.72,English,0.79
hi i am david. i think we should meet. view my photos: http://phish-1.co,scam,Relationship Scam,1,,0.12,0.23,English,0.51
limited discount buy 1 get 1 free on chroma. don t miss out,promo,General Promo,0,"free, limited",0.44,1.0,English,0.72
