message,category,label_subtype,contains_link,sender_trust_score,link_reputation_score,language_type,ai_generated_score
आज flight कब है?,ham,personal,0,0.96,1.0,Hindi,0.25
"Your number won ₹50,000. Click to claim: http://phish-site.com",spam,prize_scams,1,0.17,0.11,English,0.8
जल्दी! आपका Axis खाता निलंबित। सत्यापित करें: http://phish-site.com,spam,general_spam,1,0.09,0.06,Hindi,1.0
Aapka Amazon Prime subscription jald khatam. Renew karo,promo,service_updates,0,0.67,1.0,Hinglish,0.43
Kal meeting ka mat bhoolna. Time 7:24,ham,personal,0,0.8,1.0,Hinglish,0.03
Sarkari yojana: ₹5000 har mahine. YES bhejo,spam,general_spam,0,0.0,1.0,Hinglish,0.83
बधाई! आपने MacBook जीता। दावा करें: http://phish-site.com,spam,general_spam,1,0.01,0.06,Hindi,0.87
Aapka Spotify subscription jald khatam. Renew karo,promo,service_updates,0,0.66,1.0,Hinglish,0.59
विशेष ऑफर: 50% छूट,promo,general_promo,0,0.52,1.0,Hindi,0.41
Aadhaar verification failed. Update immediately: http://phish-site.com,spam,general_spam,1,0.2,0.17,English,1.0
Call me when you're free,ham,personal,0,0.88,1.0,English,0.15
"Badhai ho! Aap jeete ₹50,000. Claim: http://phish-site.com",spam,general_spam,1,0.19,0.11,Hinglish,0.78
Store se milk le aana,ham,personal,0,0.99,1.0,Hinglish,0.18
Early access: New arrivals now live,promo,general_promo,0,0.74,1.0,English,0.57
फ्री हो तो कॉल करना,ham,personal,0,0.97,1.0,Hindi,0.21
ಉಚಿತವಾಗಿದ್ದರೆ ಕರೆ ಮಾಡಿ,ham,personal,0,0.99,1.0,Kannada,0.09
"Hey, are we meeting for meeting today? Let me know",ham,personal,0,0.97,1.0,English,0.27
Work from home: Earn ₹50000 daily. No experience. Reply YES,spam,general_spam,0,0.18,1.0,English,0.94
Jaldi! Aapka SBI account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.28,0.01,Hinglish,0.81
Bank error: Extra ₹50000 credited. Verify: http://phish-site.com,spam,financial_scams,1,0.21,0.17,English,0.78
SECURITY ALERT: Suspicious login detected. Secure account: http://phish-site.com,spam,financial_scams,1,0.29,0.13,English,0.75
Birthday treat: 40% off for you!,promo,general_promo,0,0.52,1.0,English,0.56
"19 minute late, traffic mein",ham,personal,0,0.94,1.0,Hinglish,0.02
फ्री हो तो कॉल करना,ham,personal,0,0.87,1.0,Hindi,0.29
Badhai ho! Aap jeete MacBook. Claim: http://phish-site.com,spam,general_spam,1,0.03,0.13,Hinglish,0.98
Alert: Aapke account mein suspicious activity. Call +91-8768775957,spam,financial_scams,0,0.02,1.0,Hinglish,0.88
Working from home today,ham,personal,0,0.97,1.0,English,0.08
Store se milk le aana,ham,personal,0,0.92,1.0,Hinglish,0.14
Happy birthday! 🎉 See you tonight!,ham,personal,0,0.94,1.0,English,0.26
Did you finish the presentation?,ham,personal,0,0.95,1.0,English,0.29
"Hey, kal lunch ke liye mil rahe? Time batao",ham,personal,0,0.87,1.0,Hinglish,0.28
Early access: New arrivals now live,promo,general_promo,0,0.72,1.0,English,0.56
What time is your appointment?,ham,service_updates,0,0.81,1.0,English,0.13
Work from home: Earn ₹10000 daily. No experience. Reply YES,spam,general_spam,0,0.13,1.0,English,0.92
जल्दी! आपका SBI खाता निलंबित। सत्यापित करें: http://phish-site.com,spam,general_spam,1,0.23,0.07,Hindi,0.9
सीमित समय: 1 खरीदो 1 मुफ्त। कोड SAVE49,promo,general_promo,0,0.63,1.0,Hindi,0.43
जल्दी! आपका SBI खाता निलंबित। सत्यापित करें: http://phish-site.com,spam,general_spam,1,0.29,0.01,Hindi,0.79
Sarkari yojana: ₹25000 har mahine. YES bhejo,spam,general_spam,0,0.01,1.0,Hinglish,0.9
CONGRATULATIONS! You won car. Claim: http://phish-site.com,spam,prize_scams,1,0.06,0.12,English,0.98
ಉಚಿತವಾಗಿದ್ದರೆ ಕರೆ ಮಾಡಿ,ham,personal,0,0.97,1.0,Kannada,0.03
Badhai ho! Aap jeete car. Claim: http://phish-site.com,spam,general_spam,1,0.13,0.04,Hinglish,0.97
Your Spotify subscription expired. Update payment: http://phish-site.com,spam,general_spam,1,0.12,0.08,English,0.71
फ्री हो तो कॉल करना,ham,personal,0,0.81,1.0,Hindi,0.27
Credit card par 15% cashback,promo,general_promo,0,0.77,1.0,Hinglish,0.42
Jaldi! Aapka HDFC account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.1,0.17,Hinglish,0.94
विशेष ऑफर: 50% छूट,promo,general_promo,0,0.55,1.0,Hindi,0.37
Special offer: 60% discount,promo,promotional_offers,0,0.63,1.0,Hinglish,0.49
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.14,0.2,English,0.95
Your UPI will be deactivated. Verify now: http://phish-site.com,spam,phishing_scams,1,0.11,0.18,English,0.76
Sarkari yojana: ₹25000 har mahine. YES bhejo,spam,general_spam,0,0.05,1.0,Hinglish,0.71
"26 minute late, traffic mein",ham,personal,0,0.94,1.0,Hinglish,0.13
"39 ನಿಮಿಷ ತಡವಾಗಿ, ಟ್ರಾಫಿಕ್ನಲ್ಲಿ",ham,personal,0,0.81,1.0,Kannada,0.24
"Running 22 minutes late, stuck in traffic",ham,personal,0,0.95,1.0,English,0.26
Alert: Aapke account mein suspicious activity. Call +91-8623577075,spam,financial_scams,0,0.14,1.0,Hinglish,0.97
ऋण स्वीकृत! ₹50000 मिल रहा। कोई कागजात नहीं। YES जवाब दें,spam,general_spam,0,0.11,1.0,Hindi,0.9
आपका Spotify सब्सक्रिप्शन जल्द खत्म। नवीनीकरण करें,promo,general_promo,0,0.76,1.0,Hindi,0.48
See you at cafe,ham,personal,0,0.96,1.0,English,0.22
Store se milk le aana,ham,personal,0,0.85,1.0,Hinglish,0.08
ನಾಳೆ lunch ಮರೆಯಬೇಡಿ. ಸಮಯ 9:19,ham,personal,0,0.99,1.0,Kannada,0.18
"Hey, are we meeting for lunch today? Let me know",ham,personal,0,0.95,1.0,English,0.27
"हे, कल dinner के लिए मिल रहे? समय बताओ",ham,personal,0,0.9,1.0,Hindi,0.23
Get 10% cashback on credit card spends,promo,general_promo,0,0.77,1.0,English,0.57
Your Amazon Prime subscription expiring soon. Renew now,promo,service_updates,0,0.74,1.0,English,0.34
Happy birthday! 🎉 See you tonight!,ham,personal,0,0.88,1.0,English,0.08
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.28,0.15,English,0.93
Tax refund of ₹5000 approved. Claim: http://phish-site.com,spam,general_spam,1,0.01,0.2,English,0.99
FLASH SALE: 50% OFF on watch. Shop now: http://secure-site.com,promo,promotional_offers,1,0.6,0.86,English,0.44
स्टोर से medicine ले आना,ham,personal,0,0.99,1.0,Hindi,0.17
Aadhaar verification failed. Update immediately: http://phish-site.com,spam,general_spam,1,0.18,0.02,English,0.99
"Hey, are we meeting for dinner today? Let me know",ham,personal,0,0.92,1.0,English,0.03
"Hey, kal meeting ke liye mil rahe? Time batao",ham,personal,0,0.87,1.0,Hinglish,0.11
You are selected for ₹10000 cash prize. Call +91-8418318627,spam,prize_scams,0,0.27,1.0,English,0.83
जल्दी! आपका HDFC खाता निलंबित। सत्यापित करें: http://phish-site.com,spam,general_spam,1,0.11,0.12,Hindi,0.96
"हे, कल lunch के लिए मिल रहे? समय बताओ",ham,personal,0,0.96,1.0,Hindi,0.05
Credit card par 10% cashback,promo,general_promo,0,0.8,1.0,Hinglish,0.58
"हे, कल lunch के लिए मिल रहे? समय बताओ",ham,personal,0,0.94,1.0,Hindi,0.2
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.17,0.11,English,0.92
आपका Spotify सब्सक्रिप्शन जल्द खत्म। नवीनीकरण करें,promo,general_promo,0,0.78,1.0,Hindi,0.5
"44 minute late, traffic mein",ham,personal,0,0.96,1.0,Hinglish,0.16
CONGRATULATIONS! You won car. Claim: http://phish-site.com,spam,prize_scams,1,0.04,0.06,English,0.81
Did you finish the presentation?,ham,personal,0,0.87,1.0,English,0.28
Limited time: 1 kharido 1 free. Code SAVE21,promo,general_promo,0,0.59,1.0,Hinglish,0.59
New laptop collection launched! Use code SAVE40,promo,general_promo,0,0.55,1.0,English,0.31
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.07,0.15,English,0.96
Your device has virus. Download antivirus: http://phish-site.com,spam,general_spam,1,0.05,0.07,English,0.97
Birthday treat: 50% off for you!,promo,general_promo,0,0.51,1.0,English,0.52
Get 5% cashback on credit card spends,promo,general_promo,0,0.6,1.0,English,0.48
FLASH SALE: 70% OFF on smartphone. Shop now: http://secure-site.com,promo,promotional_offers,1,0.58,0.79,English,0.39
See you at cafe,ham,personal,0,0.88,1.0,English,0.04
Badhai ho! Aap jeete MacBook. Claim: http://phish-site.com,spam,general_spam,1,0.11,0.08,Hinglish,0.83
"Badhai ho! Aap jeete ₹50,000. Claim: http://phish-site.com",spam,general_spam,1,0.29,0.19,Hinglish,0.71
ಉಚಿತವಾಗಿದ್ದರೆ ಕರೆ ಮಾಡಿ,ham,personal,0,0.99,1.0,Kannada,0.09
Special offer: 30% discount,promo,promotional_offers,0,0.74,1.0,Hinglish,0.36
Kal dinner ka mat bhoolna. Time 7:50,ham,personal,0,0.86,1.0,Hinglish,0.18
फ्री हो तो कॉल करना,ham,personal,0,0.95,1.0,Hindi,0.25
Aaj appointment kab hai?,ham,service_updates,0,0.88,1.0,Hinglish,0.3
Tax refund of ₹50000 approved. Claim: http://phish-site.com,spam,general_spam,1,0.19,0.2,English,0.9
ವಿಶೇಷ ಆಫರ್: 40% ರಿಯಾಯಿತಿ,promo,general_promo,0,0.53,1.0,Kannada,0.45
Special offer: 50% discount,promo,promotional_offers,0,0.55,1.0,Hinglish,0.39
Free shipping on orders above ₹10000,promo,general_promo,0,0.75,1.0,English,0.54
Aaj flight kab hai?,ham,personal,0,0.83,1.0,Hinglish,0.05
Your Netflix subscription expired. Update payment: http://phish-site.com,spam,general_spam,1,0.1,0.11,English,0.78
आज meeting कब है?,ham,personal,0,0.99,1.0,Hindi,0.21
फ्री हो तो कॉल करना,ham,personal,0,0.88,1.0,Hindi,0.24
Weekend special: Extra 30% off. Shop: http://secure-site.com,promo,general_promo,1,0.62,0.71,English,0.53
Kal dinner ka mat bhoolna. Time 12:19,ham,personal,0,0.82,1.0,Hinglish,0.25
Aapka Netflix subscription jald khatam. Renew karo,promo,service_updates,0,0.55,1.0,Hinglish,0.34
Store se bread le aana,ham,personal,0,0.93,1.0,Hinglish,0.14
सीमित समय: 1 खरीदो 1 मुफ्त। कोड SAVE46,promo,general_promo,0,0.62,1.0,Hindi,0.35
Sarkari yojana: ₹25000 har mahine. YES bhejo,spam,general_spam,0,0.0,1.0,Hinglish,0.9
कल lunch का मत भूलना। समय 9:07,ham,personal,0,0.95,1.0,Hindi,0.13
Aaj meeting kab hai?,ham,personal,0,0.95,1.0,Hinglish,0.0
What time is your appointment?,ham,service_updates,0,0.89,1.0,English,0.19
Badhai ho! Aap jeete iPhone 15. Claim: http://phish-site.com,spam,general_spam,1,0.2,0.1,Hinglish,0.86
Jaldi! Aapka ICICI account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.17,0.1,Hinglish,0.91
ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ನಲ್ಲಿ 15% ಕ್ಯಾಶ್‌ಬ್ಯಾಕ್,promo,general_promo,0,0.67,1.0,Kannada,0.46
"43 minute late, traffic mein",ham,personal,0,0.85,1.0,Hinglish,0.18
Store se medicine le aana,ham,personal,0,0.95,1.0,Hinglish,0.28
See you at office,ham,personal,0,0.88,1.0,English,0.08
Loan approve! ₹25000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.13,1.0,Hinglish,0.84
"19 ನಿಮಿಷ ತಡವಾಗಿ, ಟ್ರಾಫಿಕ್ನಲ್ಲಿ",ham,personal,0,0.84,1.0,Kannada,0.21
Seasonal sale: Prices slashed by 60%,promo,promotional_offers,0,0.68,1.0,English,0.42
ಸರ್ಕಾರಿ ಯೋಜನೆ: ₹50000 ಪ್ರತಿ ತಿಂಗಳು. YES ಕಳುಹಿಸಿ,spam,general_spam,0,0.1,1.0,Kannada,0.81
Limited time: 1 kharido 1 free. Code SAVE48,promo,general_promo,0,0.62,1.0,Hinglish,0.46
Did you finish the project?,ham,personal,0,0.91,1.0,English,0.24
ತ್ವರಿತ! ನಿಮ್ಮ Axis ಖಾತೆ ನಿಲ್ಲಿಸಲಾಗಿದೆ. ಧೃಡೀಕರಿಸಿ: http://phish-site.com,spam,general_spam,1,0.1,0.01,Kannada,0.83
Aadhaar verification failed. Update immediately: http://phish-site.com,spam,general_spam,1,0.29,0.13,English,0.83
ಇಂದು meeting ಯಾವಾಗ?,ham,personal,0,0.88,1.0,Kannada,0.14
Badhai ho! Aap jeete MacBook. Claim: http://phish-site.com,spam,general_spam,1,0.04,0.17,Hinglish,0.72
Your device has virus. Download antivirus: http://phish-site.com,spam,general_spam,1,0.28,0.02,English,0.89
"Hey, are we meeting for dinner today? Let me know",ham,personal,0,0.92,1.0,English,0.14
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.12,0.06,English,0.88
See you at cafe,ham,personal,0,0.96,1.0,English,0.12
"Your number won ₹50,000. Click to claim: http://phish-site.com",spam,prize_scams,1,0.26,0.17,English,0.82
ಅಭಿನಂದನೆಗಳು! ನೀವು iPhone 15 ಗೆದ್ದಿದ್ದೀರಿ. ಕ್ಲೈಮ್: http://phish-site.com,spam,general_spam,1,0.04,0.13,Kannada,0.71
See you at mall,ham,personal,0,0.85,1.0,English,0.03
Jaldi! Aapka SBI account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.17,0.15,Hinglish,0.86
Member exclusive: Extra 20% off,promo,general_promo,0,0.5,1.0,English,0.48
You are selected for ₹5000 cash prize. Call +91-7908764940,spam,prize_scams,0,0.05,1.0,English,0.74
Package will be delivered today between 2-9,ham,personal,0,0.98,1.0,English,0.07
ವಿಶೇಷ ಆಫರ್: 40% ರಿಯಾಯಿತಿ,promo,general_promo,0,0.65,1.0,Kannada,0.52
Working from home today,ham,personal,0,0.91,1.0,English,0.25
सरकारी योजना: ₹10000 हर महीने। YES भेजें,spam,general_spam,0,0.05,1.0,Hindi,0.95
"Hey, kal meeting ke liye mil rahe? Time batao",ham,personal,0,0.81,1.0,Hinglish,0.09
Government scheme: Get ₹10000 monthly. Send YES,spam,general_spam,0,0.2,1.0,English,0.9
Government scheme: Get ₹25000 monthly. Send YES,spam,general_spam,0,0.28,1.0,English,0.8
Call me when you're free,ham,personal,0,0.84,1.0,English,0.09
Member exclusive: Extra 20% off,promo,general_promo,0,0.67,1.0,English,0.31
You are selected for ₹5000 cash prize. Call +91-7462838014,spam,prize_scams,0,0.09,1.0,English,0.99
Loan approve! ₹50000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.16,1.0,Hinglish,0.79
Bank error: Extra ₹25000 credited. Verify: http://phish-site.com,spam,financial_scams,1,0.1,0.13,English,0.95
Loan approve! ₹5000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.02,1.0,Hinglish,0.84
बधाई! आपने car जीता। दावा करें: http://phish-site.com,spam,general_spam,1,0.24,0.2,Hindi,0.72
ಅಭಿನಂದನೆಗಳು! ನೀವು car ಗೆದ್ದಿದ್ದೀರಿ. ಕ್ಲೈಮ್: http://phish-site.com,spam,general_spam,1,0.03,0.19,Kannada,0.7
Doctor appointment confirmed for 2:58,ham,service_updates,0,0.9,1.0,English,0.23
Aadhaar verification failed. Update immediately: http://phish-site.com,spam,general_spam,1,0.15,0.11,English,0.93
Exclusive deal for you: 30% off,promo,general_promo,0,0.61,1.0,English,0.39
Credit card par 5% cashback,promo,general_promo,0,0.61,1.0,Hinglish,0.35
Call me when you're free,ham,personal,0,0.91,1.0,English,0.15
"हे, कल meeting के लिए मिल रहे? समय बताओ",ham,personal,0,0.88,1.0,Hindi,0.05
Your UPI will be deactivated. Verify now: http://phish-site.com,spam,phishing_scams,1,0.27,0.17,English,0.79
आपका Netflix सब्सक्रिप्शन जल्द खत्म। नवीनीकरण करें,promo,general_promo,0,0.51,1.0,Hindi,0.5
You are selected for ₹10000 cash prize. Call +91-9409618851,spam,prize_scams,0,0.2,1.0,English,0.83
"Hey, are we meeting for lunch today? Let me know",ham,personal,0,0.99,1.0,English,0.22
Free ho toh call karna,ham,personal,0,0.96,1.0,Hinglish,0.01
CONGRATULATIONS! You won car. Claim: http://phish-site.com,spam,prize_scams,1,0.2,0.1,English,0.99
"38 मिनट लेट, ट्रैफिक में",ham,personal,0,0.9,1.0,Hindi,0.23
Limited time: 1 kharido 1 free. Code SAVE32,promo,general_promo,0,0.55,1.0,Hinglish,0.36
ಸೀಮಿತ ಸಮಯ: 1 ಖರೀದಿ 1 ಉಚಿತ. ಕೋಡ್ SAVE27,promo,general_promo,0,0.58,1.0,Kannada,0.55
Your OTP is 574538. Do not share,ham,service_updates,0,0.9,1.0,English,0.09
ಸರ್ಕಾರಿ ಯೋಜನೆ: ₹5000 ಪ್ರತಿ ತಿಂಗಳು. YES ಕಳುಹಿಸಿ,spam,general_spam,0,0.23,1.0,Kannada,0.78
Sarkari yojana: ₹50000 har mahine. YES bhejo,spam,general_spam,0,0.16,1.0,Hinglish,0.77
Aapka Amazon Prime subscription jald khatam. Renew karo,promo,service_updates,0,0.57,1.0,Hinglish,0.39
Don't forget about meeting tomorrow at 1:34,ham,personal,0,0.86,1.0,English,0.29
CONGRATULATIONS! You won iPhone 15. Claim: http://phish-site.com,spam,prize_scams,1,0.18,0.16,English,0.96
Store se medicine le aana,ham,personal,0,0.92,1.0,Hinglish,0.08
Thanks for your help with study,ham,personal,0,0.9,1.0,English,0.18
Thanks for your help with work,ham,personal,0,0.97,1.0,English,0.29
New laptop collection launched! Use code SAVE36,promo,general_promo,0,0.65,1.0,English,0.37
Special offer: smartphone at 40% discount,promo,promotional_offers,0,0.58,1.0,English,0.57
Your UPI will be deactivated. Verify now: http://phish-site.com,spam,phishing_scams,1,0.09,0.15,English,0.98
Seasonal sale: Prices slashed by 50%,promo,promotional_offers,0,0.65,1.0,English,0.52
Doctor appointment confirmed for 8:16,ham,service_updates,0,0.9,1.0,English,0.1
Seasonal sale: Prices slashed by 30%,promo,promotional_offers,0,0.8,1.0,English,0.55
SECURITY ALERT: Suspicious login detected. Secure account: http://phish-site.com,spam,financial_scams,1,0.18,0.14,English,0.93
"Badhai ho! Aap jeete ₹50,000. Claim: http://phish-site.com",spam,general_spam,1,0.21,0.19,Hinglish,0.78
"16 minute late, traffic mein",ham,personal,0,0.93,1.0,Hinglish,0.2
Can you pick up milk from the store?,ham,personal,0,0.95,1.0,English,0.1
Loan approved! Get ₹50000 instantly. No documents. Reply YES,spam,financial_scams,0,0.27,1.0,English,0.83
ಲೋನ್ ಅನುಮೋದಿತ! ₹50000 ಸಿಗುತ್ತಿದೆ. ಯಾವುದೇ ದಾಖಲೆಗಳಿಲ್ಲ. YES ಉತ್ತರಿಸಿ,spam,general_spam,0,0.19,1.0,Kannada,0.76
आपका Amazon Prime सब्सक्रिप्शन जल्द खत्म। नवीनीकरण करें,promo,general_promo,0,0.66,1.0,Hindi,0.59
Happy birthday! 🎉 See you tonight!,ham,personal,0,0.9,1.0,English,0.16
ಲೋನ್ ಅನುಮೋದಿತ! ₹5000 ಸಿಗುತ್ತಿದೆ. ಯಾವುದೇ ದಾಖಲೆಗಳಿಲ್ಲ. YES ಉತ್ತರಿಸಿ,spam,general_spam,0,0.13,1.0,Kannada,0.77
